latitude,longitude,cluster,subcluster
52.1157337,11.0848456,0,1
52.1158578,11.0857251,0,1
52.1158965,11.0845145,0,0
52.1159666,11.0840417,0,0
52.115374,11.0789732,1,0
52.1151879,11.0790403,1,0
52.1152569,11.0794633,1,2
52.1150852,11.0791695,1,2
52.1158967,11.0790277,1,1
52.1151871,11.0823838,2,2
52.1154293,11.0815055,2,0
52.1158427,11.0815084,2,1
52.1159079,11.0814403,2,1
52.115945,11.0829907,2,2
52.1151486,11.0807066,3,1
52.1154111,11.0798286,3,0
52.1154789,11.0796259,3,0
52.1150679,11.0807484,3,1
